strategy,timeframe,tp,sl,leverage,trades,wins,win_rate,avg_win,avg_loss,risk_reward,ev,total_pnl
RSI超卖,4h,200,3,25,211,42,19.90521327014218,14.331294886724168,2.967633532364142,66.66666666666667,935.1895734597157,2509.6079568218797
趋势EMA交叉,4h,150,3,25,148,39,26.351351351351347,15.155561364116926,3.0000000000000036,50.0,932.9391891891892,6601.672330013993
趋势EMA交叉,1d,150,2,30,23,5,21.73913043478261,64.62306488247118,2.0000000000000018,75.0,931.304347826087,8613.459732370675
看涨插针,1h,150,5,15,567,245,43.20987654320987,5.578262046844789,3.837472483974583,30.0,929.6296296296296,1965.1209245573593
EMA50/200黄金交叉,1h,200,5,10,145,69,47.58620689655172,4.964917052098005,3.9231923777452193,40.0,925.5172413793102,444.1665588612575
RSI超卖,1h,200,3,15,573,182,31.762652705061083,5.696117515225116,2.844551400511498,66.66666666666667,922.17277486911,-1132.8931474353692
EMA50/200黄金交叉,4h,100,3,25,31,12,38.70967741935484,13.220674658487468,3.0000000000000027,33.333333333333336,921.7741935483871,2541.2023975462394
EMA50/200黄金交叉,1h,75,3,30,151,65,43.04635761589404,5.117341182959109,2.6029406565636637,25.0,917.2847682119204,3263.2284128360097
放量突破,4h,150,2,30,131,28,21.374045801526716,15.994410330544442,2.000000000000002,75.0,914.6564885496184,7255.3046776573265
EMA7/25金叉,4h,200,5,15,137,44,32.11678832116788,14.172494964681874,4.71565763468686,40.0,912.5912408759124,2775.504276301867
RSI超卖,1h,150,3,20,573,182,31.762652705061083,5.696117515225116,2.844551400511498,50.0,911.9371727748692,-1510.5241965804921
看涨插针,1h,200,7,10,513,243,47.368421052631575,5.443156769497422,4.32477079653725,28.571428571428573,910.5263157894735,1549.9897992281615
