timestamp,symbol,sumOpenInterest,sumOpenInterestValue,CMCCirculatingSupply
2025-11-16 01:00:00,BTCUSDT,96768.575,9226163395.27687,19948812.00000000
2025-11-16 02:00:00,BTCUSDT,96692.617,9210062274.240534,19948812.00000000
2025-11-16 03:00:00,BTCUSDT,96761.059,9282319460.687866,19948812.00000000
2025-11-16 04:00:00,BTCUSDT,96743.819,9267069118.040073,19948812.00000000
2025-11-16 05:00:00,BTCUSDT,96847.373,9276147918.0503,19948812.00000000
2025-11-16 06:00:00,BTCUSDT,97729.757,9367397208.45,19948812.00000000
2025-11-16 07:00:00,BTCUSDT,97685.366,9354145508.8914,19948812.00000000
2025-11-16 08:00:00,BTCUSDT,97828.929,9397965883.068115,19948812.00000000
2025-11-16 09:00:00,BTCUSDT,97879.411,9404596386.8185,19948812.00000000
2025-11-16 10:00:00,BTCUSDT,98037.341,9470742549.07646,19948812.00000000
2025-11-16 11:00:00,BTCUSDT,98047.84,9453092221.10868,19948812.00000000
2025-11-16 12:00:00,BTCUSDT,97758.701,9344747107.080769,19948812.00000000
2025-11-16 13:00:00,BTCUSDT,97918.992,9372179232.6912,19948812.00000000
2025-11-16 14:00:00,BTCUSDT,98071.422,9353257851.8418,19948812.00000000
2025-11-16 15:00:00,BTCUSDT,98143.619,9371439747.453,19948812.00000000
2025-11-16 16:00:00,BTCUSDT,97607.711,9226281035.3351,19948812.00000000
2025-11-16 17:00:00,BTCUSDT,97942.284,9224990993.739862,19948812.00000000
2025-11-16 18:00:00,BTCUSDT,97713.49,9217294803.815248,19948812.00000000
2025-11-16 19:00:00,BTCUSDT,97546.322,9169705434.7592,19948812.00000000
2025-11-16 20:00:00,BTCUSDT,97477.332,9162333082.674,19948812.00000000
2025-11-16 21:00:00,BTCUSDT,97482.507,9168521588.051853,19948812.00000000
2025-11-16 22:00:00,BTCUSDT,98411.338,9198802996.874,19948812.00000000
2025-11-16 23:00:00,BTCUSDT,98274.901,9252748996.4817,19948812.00000000
2025-11-17 00:00:00,BTCUSDT,98685.164,9299540400.680899,19948812.00000000
2025-11-17 01:00:00,BTCUSDT,99627.189,9489938074.6005,19948812.00000000
2025-11-17 02:00:00,BTCUSDT,99578.789,9433625681.785295,19948812.00000000
2025-11-17 03:00:00,BTCUSDT,99640.615,9460089233.3915,19948812.00000000
2025-11-17 04:00:00,BTCUSDT,99607.664,9509543682.08,19948812.00000000
2025-11-17 05:00:00,BTCUSDT,99169.812,9427865770.2348,19948812.00000000
2025-11-17 06:00:00,BTCUSDT,99138.859,9426558924.6996,19948812.00000000
2025-11-17 07:00:00,BTCUSDT,99279.861,9455433414.737503,19948812.00000000
2025-11-17 08:00:00,BTCUSDT,98976.604,9462117511.928844,19948812.00000000
2025-11-17 09:00:00,BTCUSDT,98662.622,9429907021.6806,19948812.00000000
2025-11-17 10:00:00,BTCUSDT,98638.082,9430589743.856,19948812.00000000
2025-11-17 11:00:00,BTCUSDT,98741.536,9439966826.339762,19948812.00000000
2025-11-17 12:00:00,BTCUSDT,98716.894,9430635103.591879,19948812.00000000
2025-11-17 13:00:00,BTCUSDT,98849.395,9417470826.1055,19948812.00000000
2025-11-17 14:00:00,BTCUSDT,97325.752,9140211743.0272,19948812.00000000
2025-11-17 15:00:00,BTCUSDT,96980.352,9186454145.1648,19948812.00000000
2025-11-17 16:00:00,BTCUSDT,96491.309,9062223558.209078,19948812.00000000
2025-11-17 17:00:00,BTCUSDT,96553.98,9101854032.66,19948812.00000000
2025-11-17 18:00:00,BTCUSDT,96775.117,8971895289.4179,19948812.00000000
2025-11-17 19:00:00,BTCUSDT,97189.499,8991379657.105967,19948812.00000000
2025-11-17 20:00:00,BTCUSDT,98801.112,9055744361.8056,19948812.00000000
2025-11-17 21:00:00,BTCUSDT,99469.975,9149397505.4625,19948812.00000000
2025-11-17 22:00:00,BTCUSDT,99886.082,9181338163.100834,19948812.00000000
2025-11-17 23:00:00,BTCUSDT,100333.522,9252065097.5382,19948812.00000000
2025-11-18 00:00:00,BTCUSDT,101318.671,9338177158.8544,19948812.00000000
2025-11-18 01:00:00,BTCUSDT,101661.932,9364980557.258171,19948812.00000000
2025-11-18 02:00:00,BTCUSDT,102463.995,9397083840.068048,19948812.00000000
2025-11-18 03:00:00,BTCUSDT,102115.575,9276787930.946308,19950237.00000000
2025-11-18 04:00:00,BTCUSDT,102215.347,9283918432.73635,19950237.00000000
2025-11-18 05:00:00,BTCUSDT,102061.832,9190086219.1576,19950237.00000000
2025-11-18 06:00:00,BTCUSDT,102912.677,9281286860.360062,19950237.00000000
2025-11-18 07:00:00,BTCUSDT,103053.346,9235514743.1725,19950237.00000000
2025-11-18 08:00:00,BTCUSDT,103234.959,9338972480.394648,19950237.00000000
2025-11-18 09:00:00,BTCUSDT,102650.038,9359925716.052103,19950237.00000000
2025-11-18 10:00:00,BTCUSDT,102721.713,9384977454.603737,19950237.00000000
2025-11-18 11:00:00,BTCUSDT,102519.602,9384716548.308378,19950237.00000000
2025-11-18 12:00:00,BTCUSDT,102299.575,9357976382.615,19950237.00000000
2025-11-18 13:00:00,BTCUSDT,101839.947,9317137287.900478,19950237.00000000
2025-11-18 14:00:00,BTCUSDT,102701.536,9390864129.3824,19950237.00000000
2025-11-18 15:00:00,BTCUSDT,102532.335,9366087762.103708,19950237.00000000
